,player_name,team_name,player_kda,player_combat_score,top_3_agents,top_roles,region,bracket,games_played,rank,earnings,win_rate,fb-fd ratio,clutches_per_game,OPer
0,Sacy,Sentinels,1.4857916102841677,185.37065075700482,"('Skye', 'Sova', 'Fade')","('Initiator', 'Controller', 'Sentinel')",NA,vct-international,102,3,435500.0,0.5533980582524272,0.8571428571428571,0.30392156862745096,False
1,Boaster,FNATIC,1.511282333516786,160.94321868617203,"('Omen', 'Astra', 'Brimstone')","('Controller', 'Initiator')",INTL,vct-international,136,2,1242285.0,0.6934306569343066,0.7813620071684588,0.29411764705882354,False
14,Urango,Galorys,1.3472527472527474,195.98851970735942,"('KAY/O', 'Raze', 'Viper')","('Initiator', 'Duelist', 'Sentinel', 'Controller')",BR,vct-challengers,56,3,31491.0,0.543859649122807,0.7901234567901234,0.14285714285714285,False
10,Less,LOUD,1.5560775102759836,218.38902159823243,"('Viper', 'Killjoy', 'Cypher')","('Controller', 'Sentinel')",BR,vct-international,125,1,937507.0,0.5634920634920635,1.2551020408163265,0.4,False
25,Saadhak,LOUD,1.410037373198078,189.6826451942338,"('KAY/O', 'Killjoy', 'Viper')","('Initiator', 'Sentinel', 'Controller', 'Duelist')",BR,vct-international,125,1,937507.0,0.5634920634920635,0.742296918767507,0.24,False
45,vanity,Shopify Rebellion,1.3557358053302433,173.36343911290055,"('Omen', 'Skye', 'Viper')","('Controller', 'Initiator', 'Sentinel')",NA,vct-international,58,1,281197.0,0.4406779661016949,0.792,0.27586206896551724,False
60,Munchkin,T1,1.6012405848471423,194.39555436749347,"('Viper', 'KAY/O', 'Killjoy')","('Controller', 'Initiator', 'Sentinel')",NA,vct-international,162,3,128371.0,0.6012269938650306,0.8333333333333334,0.3333333333333333,False
66,shyz,KRÃœ Blaze,1.587719298245614,183.1846642205304,"('Breach', 'KAY/O', 'Killjoy')","('Initiator', 'Sentinel', 'Controller', 'Duelist')",LATAM,game-changers,45,3,76618.0,0.6739130434782609,1.320754716981132,0.3111111111111111,False
82,daiki,Team Liquid Brazil,1.7133243606998654,199.5946141611973,"('Skye', 'KAY/O', 'Sova')","('Initiator', 'Duelist')",BR,game-changers,53,12,143107.0,0.6666666666666666,0.8811881188118812,0.4339622641509434,False
129,Marved,Sentinels,1.3765182186234817,192.95206686244725,"('Viper', 'Omen', 'Brimstone')","('Controller', 'Sentinel')",NA,vct-international,33,3,435500.0,0.5588235294117647,0.8,0.36363636363636365,False
130,nitr0,M80,1.2467532467532467,175.41412850205796,"('Killjoy', 'Cypher', 'Omen')","('Sentinel', 'Controller')",NA,vct-international,16,1,128350.0,0.5882352941176471,0.9032258064516129,0.4375,False
136,NaturE,TSM,1.489825581395349,195.26967960937628,"('Viper', 'Breach', 'KAY/O')","('Initiator', 'Controller', 'Sentinel', 'Duelist')",NA,vct-international,46,8,175000.0,0.425531914893617,1.1805555555555556,0.3695652173913043,False
147,stax,DRX,1.5555555555555556,177.7981526576065,"('Skye', 'KAY/O', 'Breach')","('Initiator', 'Controller')",KR,vct-international,108,2,812171.0,0.5779816513761468,0.7062146892655368,0.25,False
149,MaKo,DRX,1.7760532150776054,205.5316278802752,"('Omen', 'Viper', 'Brimstone')","('Controller', 'Initiator')",KR,vct-international,133,2,812171.0,0.5746268656716418,1.0363636363636364,0.3383458646616541,False
158,JoxJo,FENNEL,1.5369349503858876,166.46735830288142,"('Breach', 'KAY/O', 'Skye')","('Initiator', 'Sentinel', 'Controller')",JP,vct-international,63,2,42268.0,0.609375,0.6030534351145038,0.2857142857142857,False
183,Mis4ya,Sengoku Gaming,1.5332326283987916,181.4472793019441,"('KAY/O', 'Breach', 'Viper')","('Initiator', 'Controller')",JP,vct-challengers,43,4,13670.0,0.5227272727272727,0.7976190476190477,0.3023255813953488,False
212,BONECOLD,Team Vitality,1.2903885480572597,168.50544447004333,"('Sage', 'Fade', 'Omen')","('Initiator', 'Controller', 'Sentinel')",INTL,vct-international,31,9,110000.0,0.40625,0.7066666666666667,0.3225806451612903,False
227,MrFaliN,FUT Esports,1.552,190.60840496265223,"('Omen', 'Sova', 'Breach')","('Initiator', 'Controller', 'Sentinel')",INTL,vct-international,112,10,390990.0,0.504424778761062,0.8443396226415094,0.3482142857142857,False
291,f0rsakeN,PAPER REX,1.5109864422627397,210.42410310498394,"('Harbor', 'KAY/O', 'Breach')","('Initiator', 'Duelist', 'Controller', 'Sentinel')",SEA,vct-international,142,1,1096136.0,0.6153846153846154,1.011764705882353,0.21830985915492956,False
295,b3ta,Made In Thailand,1.544894366197183,185.26719091219084,"('Omen', 'Astra', 'Brimstone')","('Controller',)",SEA,vct-challengers,78,5,64510.0,0.5443037974683544,0.9037037037037037,0.41025641025641024,False
319,bENITA,Shopify Rebellion,1.4939024390243902,193.00400139842358,"('Viper', 'Astra', 'Brimstone')","('Controller', 'Initiator')",NA,game-changers,11,1,281197.0,0.5,0.85,0.5454545454545454,False
352,mimi,G2 Gozen,1.9267605633802818,209.96652219367655,"('Breach', 'KAY/O', 'Viper')","('Initiator', 'Sentinel', 'Controller')",EMEA,game-changers,57,6,35844.0,0.7241379310344828,1.144736842105263,0.47368421052631576,False
487,Boo,Team Heretics,1.5143475906876016,173.98642908893345,"('Omen', 'Viper', 'Killjoy')","('Controller', 'Sentinel', 'Initiator')",INTL,vct-international,131,1,650000.0,0.5681818181818182,1.019047619047619,0.3511450381679389,False
537,xavi8k,OASIS GAMING,1.7214428857715431,219.75093660971092,"('Cypher', 'Killjoy', 'Breach')","('Sentinel', 'Initiator', 'Duelist', 'Controller')",SEA,vct-challengers,74,9,40113.0,0.64,1.1290322580645162,0.3108108108108108,False
559,Cud,BOOM ESPORTS,1.3889618922470435,192.0538880345506,"('Killjoy', 'Cypher', 'Viper')","('Sentinel', 'Controller', 'Initiator', 'Duelist')",SEA,vct-challengers,57,4,155975.0,0.6551724137931034,0.9893617021276596,0.5087719298245614,False
574,YESicaN,Fancy United Esports,2.225185185185185,218.3237533297675,"('KAY/O', 'Gekko', 'Breach')","('Initiator', 'Controller', 'Duelist', 'Sentinel')",VN,vct-challengers,59,11,84531.0,0.7833333333333333,1.5942028985507246,0.3220338983050847,False
705,johnqt,M80,1.5920954511558538,188.3125089199473,"('Cypher', 'Viper', 'Killjoy')","('Sentinel', 'Controller', 'Initiator', 'Duelist')",NA,vct-international,107,1,128350.0,0.6388888888888888,1.1893939393939394,0.4766355140186916,False
749,jotinha,Oxen,1.4510250569476082,184.42909788432502,"('Omen', 'Astra', 'Brimstone')","('Controller', 'Sentinel')",LATAM,vct-challengers,30,4,8214.0,0.41935483870967744,0.7272727272727273,0.26666666666666666,False
859,nobody ,EDward Gaming,1.3504950495049506,185.89429977909887,"('Sova', 'Skye', 'Fade')","('Initiator',)",CN,vct-international,66,1,1260689.0,0.5223880597014925,0.6606060606060606,0.4090909090909091,False
901,WawaLee,Chao Hui EDward Gaming,1.1481481481481481,155.60804857294406,"('Sova', 'Viper', 'Breach')","('Initiator', 'Controller')",INTL,game-changers,15,22,20484.0,0.5625,0.85,0.06666666666666667,False
1091,BRIAN,REJECT,1.4048387096774193,203.1713504839328,"('Gekko', 'Omen', 'Yoru')","('Duelist', 'Controller', 'Initiator', 'Sentinel')",JP,vct-challengers,40,7,10429.0,0.5365853658536586,0.9083333333333333,0.325,False
1448,Mel1,Karmine Corp,1.2117647058823529,174.1328937348771,"('Omen', 'Killjoy', 'Viper')","('Controller', 'Sentinel')",EMEA,game-changers,16,31,25000.0,0.4117647058823529,0.6875,0.1875,False
86,zap,2GAME eSports,1.3735099337748344,185.7099949948583,"('Killjoy', 'Viper', 'Cypher')","('Sentinel', 'Controller', 'Initiator')",BR,vct-challengers,55,2,22130.0,0.6071428571428571,1.2289156626506024,0.41818181818181815,False
1792,Siduzord,Stellae Gaming,1.563118811881188,199.61078917552325,"('Gekko', 'Sova', 'Fade')","('Initiator',)",BR,vct-challengers,59,10,8047.0,0.5333333333333333,0.9789473684210527,0.3220338983050847,False
1977,x jfoen,ILLICIT,1.6866359447004609,174.2239568262886,"('Breach', 'Skye', 'Sova')","('Initiator',)",LATAM,vct-challengers,16,4,11125.0,0.47058823529411764,0.7142857142857143,0.75,False
2016,MonSi,Blinn,1.4248554913294798,171.5458074456108,"('Gekko', 'Fade', 'Sova')","('Initiator', 'Controller')",NA,vct-challengers,24,4,19325.0,0.52,0.6666666666666666,0.3333333333333333,False